PLANT ID,Size of patch,plant community,biomass
1-L18-P,Large,Natural,0.411
2-L18-P,Large,Natural,0.332
3-L18-P,Large,Natural,0.34
4-L18-P,Large,Natural,0.515
5-L18-P,Large,Natural,0.619
6-L18-P,Large,Natural,0.368
7-L18-P,Large,Natural,0.169
8-L18-P,Large,Natural,0.185
9-L18-P,Large,Natural,0.345
1-L19-K,Large,Knapweed,0.668
2-L19-K,Large,Knapweed,0.313
3-L19-K,Large,Knapweed,0.197
4-L19-K,Large,Knapweed,0.579
5-L19-K,Large,Knapweed,0.603
6-L19-K,Large,Knapweed,0.685
7-L19-K,Large,Knapweed,0.707
8-L19-K,Large,Knapweed,0.305
9-L19-K,Large,Knapweed,0.301
1-L19-P,Large,Natural,0.282
2-L19-P,Large,Natural,0.862
3-L19-P,Large,Natural,0.234
4-L19-P,Large,Natural,0.287
5-L19-P,Large,Natural,0.448
6-L19-P,Large,Natural,0.089
7-L19-P,Large,Natural,0.416
8-L19-P,Large,Natural,0.273
9-L19-P,Large,Natural,0.195
1-L20-K,Large,Knapweed,0.077
2-L20-K,Large,Knapweed,0.273
3-L20-K,Large,Knapweed,0.623
4-L20-K,Large,Knapweed,0.193
5-L20-K,Large,Knapweed,0.44
6-L20-K,Large,Knapweed,0.247
7-L20-K,Large,Knapweed,0.981
8-L20-K,Large,Knapweed,0.323
9-L20-K,Large,Knapweed,0.182
1-L20-P,Large,Natural,0.179
2-L20-P,Large,Natural,0.618
3-L20-P,Large,Natural,0.16
4-L20-P,Large,Natural,0.59
5-L20-P,Large,Natural,0.536
6-L20-P,Large,Natural,0.016
7-L20-P,Large,Natural,0.192
8-L20-P,Large,Natural,0.223
9-L20-P,Large,Natural,0.233
1-S1-K,Small,Knapweed,0.622
2-S1-K,Small,Knapweed,0.348
3-S1-K,Small,Knapweed,0.294
4-S1-K,Small,Knapweed,0.286
5-S1-K,Small,Knapweed,0.485
6-S1-K,Small,Knapweed,0.496
7-S1-K,Small,Knapweed,0.19
8-S1-K,Small,Knapweed,0.27
9-S1-K,Small,Knapweed,0.275
1-S1-P,Small,Natural,0.351
2-S1-P,Small,Natural,0.381
3-S1-P,Small,Natural,0.053
4-S1-P,Small,Natural,0.27
5-S1-P,Small,Natural,0.795
6-S1-P,Small,Natural,0.303
7-S1-P,Small,Natural,0.488
8-S1-P,Small,Natural,0.199
9-S1-P,Small,Natural,0.546
1-S2-K,Small,Knapweed,0.421
2-S2-K,Small,Knapweed,0.307
3-S2-K,Small,Knapweed,0.401
4-S2-K,Small,Knapweed,0.269
5-S2-K,Small,Knapweed,0.225
6-S2-K,Small,Knapweed,0.187
7-S2-K,Small,Knapweed,0.028
8-S2-K,Small,Knapweed,0.115
9-S2-K,Small,Knapweed,0.189
1-S2-P,Small,Natural,1.119
2-S2-P,Small,Natural,0.248
3-S2-P,Small,Natural,0.711
4-S2-P,Small,Natural,0.381
5-S2-P,Small,Natural,0.712
6-S2-P,Small,Natural,0.983
7-S2-P,Small,Natural,0.747
8-S2-P,Small,Natural,0.69
9-S2-P,Small,Natural,0.432
1-S3-K,Small,Knapweed,0.021
2-S3-K,Small,Knapweed,0.06
3-S3-K,Small,Knapweed,0.286
4-S3-K,Small,Knapweed,0.233
5-S3-K,Small,Knapweed,0.171
6-S3-K,Small,Knapweed,0.338
7-S3-K,Small,Knapweed,0.311
8-S3-K,Small,Knapweed,0.222
9-S3-K,Small,Knapweed,0.493
1-S3-P,Small,Natural,0.314
2-S3-P,Small,Natural,0.031
3-S3-P,Small,Natural,0.247
4-S3-P,Small,Natural,0.247
5-S3-P,Small,Natural,0.301
6-S3-P,Small,Natural,0.138
7-S3-P,Small,Natural,0.466
8-S3-P,Small,Natural,0.356
9-S3-P,Small,Natural,0.067
1-S4-K,Small,Knapweed,0.508
2-S4-K,Small,Knapweed,0.063
3-S4-K,Small,Knapweed,0.037
4-S4-K,Small,Knapweed,0.047
5-S4-K,Small,Knapweed,0.155
6-S4-K,Small,Knapweed,
7-S4-K,Small,Knapweed,0.212
8-S4-K,Small,Knapweed,0.324
9-S4-K,Small,Knapweed,0.115
1-S4-P,Small,Natural,
2-S4-P,Small,Natural,0.051
3-S4-P,Small,Natural,0.117
4-S4-P,Small,Natural,0.201
5-S4-P,Small,Natural,0.043
6-S4-P,Small,Natural,0.023
7-S4-P,Small,Natural,0.228
8-S4-P,Small,Natural,0.127
9-S4-P,Small,Natural,
1-S5-K,Small,Knapweed,0.365
2-S5-K,Small,Knapweed,0.269
3-S5-K,Small,Knapweed,0.196
4-S5-K,Small,Knapweed,0.32
5-S5-K,Small,Knapweed,0.426
6-S5-K,Small,Knapweed,0.331
7-S5-K,Small,Knapweed,0.294
8-S5-K,Small,Knapweed,0.381
9-S5-K,Small,Knapweed,0.445
1-S5-P,Small,Natural,0.343
2-S5-P,Small,Natural,0.025
3-S5-P,Small,Natural,0.489
4-S5-P,Small,Natural,0.674
5-S5-P,Small,Natural,0.222
6-S5-P,Small,Natural,0.376
7-S5-P,Small,Natural,0.412
8-S5-P,Small,Natural,0.894
9-S5-P,Small,Natural,0.344
1-S6-K,Small,Knapweed,0.483
2-S6-K,Small,Knapweed,0.508
3-S6-K,Small,Knapweed,0.805
4-S6-K,Small,Knapweed,0.51
5-S6-K,Small,Knapweed,0.035
6-S6-K,Small,Knapweed,0.291
7-S6-K,Small,Knapweed,0.558
8-S6-K,Small,Knapweed,0.34
9-S6-K,Small,Knapweed,0.586
1-S6-P,Small,Natural,0.334
2-S6-P,Small,Natural,0.413
3-S6-P,Small,Natural,0.566
4-S6-P,Small,Natural,0.391
5-S6-P,Small,Natural,0.633
6-S6-P,Small,Natural,0.565
7-S6-P,Small,Natural,0.163
8-S6-P,Small,Natural,0.611
9-S6-P,Small,Natural,0.339
1-S7-K,Small,Knapweed,0.043
2-S7-K,Small,Knapweed,0.059
3-S7-K,Small,Knapweed,0.109
4-S7-K,Small,Knapweed,0.035
5-S7-K,Small,Knapweed,0.009
6-S7-K,Small,Knapweed,0.022
7-S7-K,Small,Knapweed,0.07
8-S7-K,Small,Knapweed,0.098
9-S7-K,Small,Knapweed,0.123
1-S7-P,Small,Natural,0.231
2-S7-P,Small,Natural,
3-S7-P,Small,Natural,
4-S7-P,Small,Natural,
5-S7-P,Small,Natural,0.344
6-S7-P,Small,Natural,
7-S7-P,Small,Natural,
8-S7-P,Small,Natural,
9-S7-P,Small,Natural,
1-S8-K,Small,Knapweed,0.476
2-S8-K,Small,Knapweed,0.596
3-S8-K,Small,Knapweed,0.508
4-S8-K,Small,Knapweed,0.787
5-S8-K,Small,Knapweed,0.801
6-S8-K,Small,Knapweed,0.675
7-S8-K,Small,Knapweed,0.161
8-S8-K,Small,Knapweed,
9-S8-K,Small,Knapweed,0.371
1-S8-P,Small,Natural,0.752
2-S8-P,Small,Natural,0.654
3-S8-P,Small,Natural,0.227
4-S8-P,Small,Natural,0.441
5-S8-P,Small,Natural,0.438
6-S8-P,Small,Natural,0.452
7-S8-P,Small,Natural,0.753
8-S8-P,Small,Natural,0.143
9-S8-P,Small,Natural,0.307
1-S9-K,Small,Knapweed,0.36
2-S9-K,Small,Knapweed,0.385
3-S9-K,Small,Knapweed,0.095
4-S9-K,Small,Knapweed,0.646
5-S9-K,Small,Knapweed,0.201
6-S9-K,Small,Knapweed,0.273
7-S9-K,Small,Knapweed,0.507
8-S9-K,Small,Knapweed,0.417
9-S9-K,Small,Knapweed,0.811
1-S9-P,Small,Natural,0.365
2-S9-P,Small,Natural,0.549
3-S9-P,Small,Natural,0.415
4-S9-P,Small,Natural,0.394
5-S9-P,Small,Natural,0.576
6-S9-P,Small,Natural,0.541
7-S9-P,Small,Natural,0.451
8-S9-P,Small,Natural,0.499
9-S9-P,Small,Natural,0.272
1-S10-K,Small,Knapweed,0.796
2-S10-K,Small,Knapweed,0.433
3-S10-K,Small,Knapweed,0.681
4-S10-K,Small,Knapweed,0.079
5-S10-K,Small,Knapweed,0.404
6-S10-K,Small,Knapweed,0.882
7-S10-K,Small,Knapweed,0.354
8-S10-K,Small,Knapweed,0.911
9-S10-K,Small,Knapweed,0.349
1-S10-P,Small,Natural,0.323
2-S10-P,Small,Natural,0.776
3-S10-P,Small,Natural,0.257
4-S10-P,Small,Natural,0.382
5-S10-P,Small,Natural,0.4
6-S10-P,Small,Natural,0.647
7-S10-P,Small,Natural,0.287
8-S10-P,Small,Natural,0.185
9-S10-P,Small,Natural,0.014
1-S11-K,Small,Knapweed,0.49
2-S11-K,Small,Knapweed,0.696
3-S11-K,Small,Knapweed,0.317
4-S11-K,Small,Knapweed,0.269
5-S11-K,Small,Knapweed,0.776
6-S11-K,Small,Knapweed,0.612
7-S11-K,Small,Knapweed,0.606
8-S11-K,Small,Knapweed,0.651
9-S11-K,Small,Knapweed,0.253
1-S11-P,Small,Natural,0.435
2-S11-P,Small,Natural,0.218
3-S11-P,Small,Natural,0.556
4-S11-P,Small,Natural,0.568
5-S11-P,Small,Natural,0.289
6-S11-P,Small,Natural,0.523
7-S11-P,Small,Natural,0.441
8-S11-P,Small,Natural,0.885
9-S11-P,Small,Natural,0.598
1-S12-K,Small,Knapweed,0.336
2-S12-K,Small,Knapweed,0.07
3-S12-K,Small,Knapweed,0.415
4-S12-K,Small,Knapweed,0.065
5-S12-K,Small,Knapweed,0.167
6-S12-K,Small,Knapweed,
7-S12-K,Small,Knapweed,0.231
8-S12-K,Small,Knapweed,0.569
9-S12-K,Small,Knapweed,
1-S12-P,Small,Natural,0.276
2-S12-P,Small,Natural,0.731
3-S12-P,Small,Natural,0.358
4-S12-P,Small,Natural,0.354
5-S12-P,Small,Natural,0.253
6-S12-P,Small,Natural,0.479
7-S12-P,Small,Natural,
8-S12-P,Small,Natural,0.176
9-S12-P,Small,Natural,0.657
1-S13-K,Small,Knapweed,0.066
2-S13-K,Small,Knapweed,0.033
3-S13-K,Small,Knapweed,
4-S13-K,Small,Knapweed,0.058
5-S13-K,Small,Knapweed,0.173
6-S13-K,Small,Knapweed,0.262
7-S13-K,Small,Knapweed,0.097
8-S13-K,Small,Knapweed,0.091
9-S13-K,Small,Knapweed,0.175
1-S13-P,Small,Natural,0.192
2-S13-P,Small,Natural,0.211
3-S13-P,Small,Natural,0.164
4-S13-P,Small,Natural,0.107
5-S13-P,Small,Natural,0.268
6-S13-P,Small,Natural,0.682
7-S13-P,Small,Natural,0.289
8-S13-P,Small,Natural,0.091
9-S13-P,Small,Natural,0.208
1-S14-K,Small,Knapweed,0.431
2-S14-K,Small,Knapweed,0.226
3-S14-K,Small,Knapweed,0.397
4-S14-K,Small,Knapweed,0.255
5-S14-K,Small,Knapweed,0.038
6-S14-K,Small,Knapweed,0.387
7-S14-K,Small,Knapweed,0.327
8-S14-K,Small,Knapweed,0.279
9-S14-K,Small,Knapweed,0.094
1-S14-P,Small,Natural,0.525
2-S14-P,Small,Natural,0.583
3-S14-P,Small,Natural,0.517
4-S14-P,Small,Natural,0.368
5-S14-P,Small,Natural,0.362
6-S14-P,Small,Natural,0.438
7-S14-P,Small,Natural,0.405
8-S14-P,Small,Natural,0.685
9-S14-P,Small,Natural,0.194
1-S15-K,Small,Knapweed,0.133
2-S15-K,Small,Knapweed,
3-S15-K,Small,Knapweed,0.318
4-S15-K,Small,Knapweed,0.03
5-S15-K,Small,Knapweed,0.266
6-S15-K,Small,Knapweed,0.056
7-S15-K,Small,Knapweed,0.259
8-S15-K,Small,Knapweed,0.274
9-S15-K,Small,Knapweed,0.148
1-S15-P,Small,Natural,0.546
2-S15-P,Small,Natural,0.471
3-S15-P,Small,Natural,0.343
4-S15-P,Small,Natural,0.338
5-S15-P,Small,Natural,0.602
6-S15-P,Small,Natural,0.075
7-S15-P,Small,Natural,0.545
8-S15-P,Small,Natural,0.284
9-S15-P,Small,Natural,0.087
1-S16-K,Small,Knapweed,0.194
2-S16-K,Small,Knapweed,0.706
3-S16-K,Small,Knapweed,0.154
4-S16-K,Small,Knapweed,0.081
5-S16-K,Small,Knapweed,0.362
6-S16-K,Small,Knapweed,0.601
7-S16-K,Small,Knapweed,0.358
8-S16-K,Small,Knapweed,0.737
9-S16-K,Small,Knapweed,0.425
1-S16-P,Small,Natural,0.851
2-S16-P,Small,Natural,0.725
3-S16-P,Small,Natural,0.366
4-S16-P,Small,Natural,1.242
5-S16-P,Small,Natural,0.257
6-S16-P,Small,Natural,0.558
7-S16-P,Small,Natural,0.33
8-S16-P,Small,Natural,0.625
9-S16-P,Small,Natural,0.319
1-S17-K,Small,Knapweed,0.318
2-S17-K,Small,Knapweed,0.806
3-S17-K,Small,Knapweed,0.412
4-S17-K,Small,Knapweed,0.565
5-S17-K,Small,Knapweed,0.49
6-S17-K,Small,Knapweed,0.269
7-S17-K,Small,Knapweed,0.447
8-S17-K,Small,Knapweed,0.722
9-S17-K,Small,Knapweed,0.772
1-S17-P,Small,Natural,0.602
2-S17-P,Small,Natural,0.271
3-S17-P,Small,Natural,0.388
4-S17-P,Small,Natural,0.464
5-S17-P,Small,Natural,0.394
6-S17-P,Small,Natural,0.434
7-S17-P,Small,Natural,0.499
8-S17-P,Small,Natural,0.514
9-S17-P,Small,Natural,0.303
1-S18-K,Small,Knapweed,0.393
2-S18-K,Small,Knapweed,0.138
3-S18-K,Small,Knapweed,0.109
4-S18-K,Small,Knapweed,0.153
5-S18-K,Small,Knapweed,0.456
6-S18-K,Small,Knapweed,0.223
7-S18-K,Small,Knapweed,0.194
8-S18-K,Small,Knapweed,0.124
9-S18-K,Small,Knapweed,0.334
1-S18-P,Small,Natural,0.5
2-S18-P,Small,Natural,0.218
3-S18-P,Small,Natural,0.54
4-S18-P,Small,Natural,0.256
5-S18-P,Small,Natural,0.275
6-S18-P,Small,Natural,0.456
7-S18-P,Small,Natural,0.36
8-S18-P,Small,Natural,0.308
9-S18-P,Small,Natural,0.28
1-S19-K,Small,Knapweed,
2-S19-K,Small,Knapweed,
3-S19-K,Small,Knapweed,
4-S19-K,Small,Knapweed,
5-S19-K,Small,Knapweed,
6-S19-K,Small,Knapweed,
7-S19-K,Small,Knapweed,
8-S19-K,Small,Knapweed,0.083
9-S19-K,Small,Knapweed,
1-S19-P,Small,Natural,0.298
2-S19-P,Small,Natural,0.502
3-S19-P,Small,Natural,0.344
4-S19-P,Small,Natural,0.179
5-S19-P,Small,Natural,0.095
6-S19-P,Small,Natural,0.215
7-S19-P,Small,Natural,0.26
8-S19-P,Small,Natural,0.056
9-S19-P,Small,Natural,0.147
1-S20-K,Small,Knapweed,0.126
2-S20-K,Small,Knapweed,0.092
3-S20-K,Small,Knapweed,0.146
4-S20-K,Small,Knapweed,0.087
5-S20-K,Small,Knapweed,0.264
6-S20-K,Small,Knapweed,0.077
7-S20-K,Small,Knapweed,0.097
8-S20-K,Small,Knapweed,0.162
9-S20-K,Small,Knapweed,0.283
1-S20-P,Small,Natural,0.261
2-S20-P,Small,Natural,0.076
3-S20-P,Small,Natural,0.061
4-S20-P,Small,Natural,0.055
5-S20-P,Small,Natural,0.14
6-S20-P,Small,Natural,0.259
7-S20-P,Small,Natural,0.366
8-S20-P,Small,Natural,0.249
9-S20-P,Small,Natural,0.083
