ID,Weight,C_Result,H_Result,N_Result,patch size,plant community,subject
L3K                                     ,16650,5.495554,1.06569,0.526851,large,knapweed,LK
L3P                                     ,12437,4.713493,0.918006,0.44381,large,natural,LP
L4K                                     ,8086,8.16874,1.208827,0.746041,large,knapweed,LK
L4P                                     ,10301,6.619006,1.04165,0.609204,large,natural,LP
L5K                                     ,16893,3.481589,0.719391,0.331536,large,knapweed,LK
L5P                                     ,11293,7.246888,1.094006,0.714629,large,natural,LP
L6K                                     ,10426,7.152062,1.182957,0.623905,large,knapweed,LK
L6P                                     ,15265,3.989272,0.808157,0.388996,large,natural,LP
L7K                                     ,16015,4.036849,0.810115,0.398587,large,knapweed,LK
L7P                                     ,13770,5.149592,0.87204,0.479252,large,natural,LP
L8K                                     ,13460,4.781292,0.948666,0.472242,large,knapweed,LK
L8P                                     ,8907,9.582042,1.380976,0.896973,large,natural,LP
L9K                                     ,14610,4.867369,0.873581,0.461858,large,knapweed,LK
L9P                                     ,12141,4.156441,0.86318,0.400163,large,natural,LP
L10K                                    ,12002,5.200716,1.009289,0.513868,large,knapweed,LK
L10P                                    ,10594,8.608854,1.341871,0.811463,large,natural,LP
L11K                                    ,10414,4.524587,0.910236,0.448381,large,knapweed,LK
L11P                                    ,15430,5.297337,0.998369,0.523902,large,natural,LP
L12K                                    ,16930,6.172611,1.08465,0.530892,large,knapweed,LK
L12P                                    ,14225,6.768118,1.109214,0.582512,large,natural,LP
L13K                                    ,15053,3.25666,0.74165,0.326338,large,knapweed,LK
L13P                                    ,7122,9.100532,1.303678,0.824283,large,natural,LP
L14K                                    ,15345,4.654015,0.891449,0.456446,large,knapweed,LK
L14P                                    ,14068,7.455431,1.148374,0.692618,large,natural,LP
L15K                                    ,12454,2.557638,0.667235,0.26874,large,knapweed,LK
L15P                                    ,11734,10.06857,1.401199,0.946548,large,natural,LP
L16K                                    ,11708,6.151609,1.04802,0.586711,large,knapweed,LK
L16P                                    ,13613,6.542113,1.103618,0.614649,large,natural,LP
L17K                                    ,12158,3.60247,0.75748,0.389613,large,knapweed,LK
L17P                                    ,15898,2.950498,0.660331,0.300504,large,natural,LP
L18K                                    ,15977,3.156389,0.691967,0.314222,large,knapweed,LK
L18P                                    ,16560,6.758368,1.08586,0.640547,large,natural,LP
L19K                                    ,14540,4.178879,1.079303,0.422546,large,knapweed,LK
L19P                                    ,8815,4.581662,1.119355,0.455539,large,natural,LP
L20K                                    ,12410,10.74165,1.77405,0.956705,large,knapweed,LK
L20P                                    ,14358,3.137622,0.825351,0.325355,large,natural,LP
